,           pO2,          SHbO2
,           mmHg,           none
,            .5,   4.215171948885592E-5
,            1,   2.738392188205232E-4
,           1.5,   8.179102119703828E-4
,            2,   .0017767374851523246
,           2.5,   .0032407303544320976
,            3,   .005291003199070941
,           3.5,   .008000365388303255
,            4,   .011433584846275905
,           4.5,   .015647289545304668
,            5,   .020689687444955272
,           5.5,    .02660021208431922
,            6,    .03340916633504641
,           6.5,   .041137417549213434
,            7,    .04979618460988801
,           7.5,   .059386947431950374
,            8,    .06990150059185359
,           8.5,    .08132216429833256
,            9,    .09362215767016861
,           9.5,    .10676613135555371
,            10,    .12071084914673785
,           10.5,    .13540600170577385
,            11,    .1507951301078541
,           11.5,    .16681663286090703
,            12,    .18340482752299692
,           12.5,    .20049103706124768
,            13,    .21800467162228387
,           13.5,     .235874278264328
,            14,    .2540285342083325
,           14.5,    .27239716302097317
,            15,    .29091175754229237
,           15.5,    .30950649801298385
,            16,    .3281187584628402
,           16.5,    .3466895987563605
,            17,    .36516414357015337
,           17.5,    .38349185287289855
,            18,    .40162669112166843
,           18.5,    .4195272043583994
,            19,    .4371565157094989
,           19.5,    .4544822505144332
,            20,    .4714764025120523
,           20.5,    .48811515228512087
,            21,    .5043786485967908
,           21.5,     .520250762437873
,            22,    .5357188226236634
,           22.5,    .5507733407063611
,            23,    .5654077318643165
,           23.5,    .5796180373406996
,            24,    .5934026529679098
,           24.5,    .6067620673556907
,            25,    .6196986124565468
,           25.5,    .6322162284600653
,            26,    .6443202443103649
,           26.5,    .6560171745856692
,            27,    .6673145330202308
,           27.5,    .6782206625785622
,            28,    .6887445817010107
,           28.5,    .6988958461184134
,            29,    .7086844254721988
,           29.5,    .7181205938655563
,            30,    .7272148334025262
,           30.5,    .7359777497372522
,            31,    .7444199986482184
,           31.5,    .7525522226660447
,            32,    .7603849968131513
,           32.5,     .767928782554982
,            33,     .775193889111902
,           33.5,    .7821904413354176
,            34,    .7889283534096534
,           34.5,    .7954173076972365
,            35,    .8016667381064315
,           35.5,    .8076858174125169
,            36,    .8134834480201956
,           36.5,    .8190682557047866
,            37,    .8244485859177022
,           37.5,    .8296325022861015
,            38,    .8346277869775582
,           38.5,    .8394419426381116
,            39,    .8440821956462774
,           39.5,     .848555500456619
,            40,     .852868544834478
,           40.5,    .8570277558086443
,            41,    .8610393061912862
,           41.5,    .8649091215345933
,            42,    .8686428874114757
,           42.5,    .8722460569235441
,            43,    .8757238583536273
,           43.5,    .8790813028924618
,            44,     .882323192380062
,           44.5,    .8854541270118265
,            45,    .8884785129677696
,           45.5,    .8914005699305438
,            46,    .8942243384642395
,           46.5,    .8969536872314299
,            47,    .8995923200306647
,           47.5,    .9021437826406941
,            48,    .9046114694612044
,           48.5,    .9069986299428386
,            49,    .9093083748018177
,           49.5,    .9115436820166376
,            50,     .913707402606127
,           50.5,    .9158022661896708
,            51,    .9178308863316637
,           51.5,    .9197957656732944
,            52,    .9216993008556009
,           52.5,    .9235437872384183
,            53,    .9253314234203656
,           53.5,    .9270643155654318
,            54,    .9287444815420245
,           54.5,    .9303738548805545
,            55,     .93195428855577
,           55.5,     .93348755860013
,            56,    .9349753675545204
,           56.5,    .9364193477625956
,            57,    .9378210645149654
,           57.5,    .9391820190493524
,            58,    .9405036514127295
,           58.5,    .9417873431913096
,            59,    .9430344201141062
,           59.5,    .9442461545356217
,            60,    .9454237678030435
,           60.5,    .9465684325131541
,            61,    .9476812746639723
,           61.5,    .9487633757059655
,            62,    .9498157744974809
,           62.5,     .950839469168865
,            63,    .9518354188995545
,           63.5,    .9528045456122463
,            64,    .9537477355880762
,           64.5,    .9546658410065659
,            65,    .9555596814139308
,           65.5,    .9564300451231796
,            66,    .9572776905492808
,           66.5,    .9581033474825181
,            67,    .9589077183030144
,           67.5,     .959691479139259
,            68,    .9604552809733441
,           68.5,    .9611997506954814
,            69,    .9619254921102502
,           69.5,    .9626330868969075
,            70,    .9633230955259774
,           70.5,    .9639960581342312
,            71,    .9646524953600617
,           71.5,    .9652929091411611
,            72,    .9659177834763153
,           72.5,    .9665275851530382
,            73,    .9671227644426842
,           73.5,    .9677037557645973
,            74,    .9682709783207755
,           74.5,    .9688248367024567
,            75,    .9693657214699644
,           75.5,    .9698940097070816
,            76,    .9704100655511597
,           76.5,     .970914240700111
,            77,    .9714068748973731
,           77.5,     .971888296395882
,            78,    .9723588224020377
,           78.5,    .9728187595005992
,            79,     .973268404061396
,           79.5,    .9737080426287054
,            80,    .9741379522940942
,           80.5,    .9745584010534942
,            81,    .9749696481492337
,           81.5,    .9753719443977186
,            82,    .9757655325034189
,           82.5,    .9761506473597862
,            83,    .9765275163376957
,           83.5,    .9768963595619797
,            84,    .9772573901765879
,           84.5,    .9776108145988902
,            85,     .977956832763606
,           85.5,    .9782956383568258
,            86,    .9786274190405643
,           86.5,    .9789523566682687
,            87,    .9792706274916794
,           87.5,    .9795824023594243
,            88,    .9798878469077128
,           88.5,     .980187121743471
,            89,    .9804803826202514
,           89.5,     .980767780607228
,            90,    .9810494622515783
,           90.5,    .9813255697345356
,            91,    .9815962410213851
,           91.5,    .9818616100056613
,            92,    .9821218066477956
,           92.5,    .9823769571084485
,            93,     .982627183876752
,           93.5,    .9828726058936766
,            94,    .9831133386707284
,           94.5,     .983349494404169
,            95,    .9835811820849494
,           95.5,     .983808507604531
,            96,    .9840315738567674
,           96.5,    .9842504808360071
,            97,    .9844653257315734
,           97.5,    .9846762030187701
,            98,    .9848832045465515
,           98.5,    .9850864196219971
,            99,    .9852859350917151
,           99.5,     .985481835420302
,           100,     .985674202765974

